Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL3353587,470.856,456.744,0.55627185,0.419543785,-0.477639243,0.477639243,0.419543785,0,0,0,2,1,3,4,1,11,6,0,0,0,3,4.8475,107.4611
CHEMBL3353608,523.291,511.195,0.422974548,0.418732654,-0.477639243,0.477639243,0.418732654,0,0,0,2,1,3,4,1,13,6,0,0,0,3,5.64,112.4291
CHEMBL4786793,358.441,336.265,0.720404201,0.254810408,-0.367573493,0.367573493,0.254810408,0,0,0,3,0,3,2,1,4,6,0,0,0,3,4.1166,105.8459
CHEMBL5287269,316.39,300.262,0.795026151,0.233691229,-0.492134,0.492134,0.233691229,0,0,0,1,2,3,8,1,8,4,0,0,0,3,2.2551,86.0268
CHEMBL5269673,251.282,241.202,0.851773953,0.233311825,-0.492142346,0.492142346,0.233311825,0,0,0,1,1,2,4,1,5,3,0,0,0,2,3.2475,63.7943
CHEMBL4550460,348.483,316.227,0.740149513,0.306339812,-0.481018029,0.481018029,0.306339812,2,0,2,0,0,0,3,2,4,5,1,0,1,2,3.8496,97.9986
CHEMBL104,344.845,327.709,0.454544985,0.12258561,-0.318902793,0.318902793,0.12258561,0,0,0,3,1,4,2,0,3,4,0,0,0,4,5.3767,101.843
CHEMBL5272167,545.48,527.336,0.290096389,0.41872178,-0.309568362,0.41872178,0.309568362,0,0,0,3,1,4,4,0,13,5,0,0,0,4,5.9773,120.2988
CHEMBL3953065,475.357,459.229,0.486091738,0.330438417,-0.301672047,0.330438417,0.301672047,0,0,0,2,2,4,7,1,10,4,0,0,0,4,3.8487,124.3337
CHEMBL3904928,512.441,496.313,0.410490043,0.572697674,-0.444149012,0.572697674,0.444149012,0,0,0,1,3,4,9,1,14,5,0,0,0,4,3.48102,117.9577
CHEMBL5275700,307.766,297.686,0.804837847,0.233691219,-0.492134,0.492134,0.233691219,0,0,0,1,2,3,7,1,8,3,0,0,0,3,2.8425,76.7098
CHEMBL4751372,412.411,393.259,0.604724387,0.254812108,-0.367573493,0.367573493,0.254812108,0,0,0,3,0,3,2,1,7,6,0,0,0,3,4.5339,105.7199
CHEMBL4759917,388.442,367.274,0.712597942,0.254820537,-0.367573492,0.367573492,0.254820537,1,0,1,3,0,3,2,1,5,5,0,0,0,4,4.182,108.4509
CHEMBL4785621,453.901,432.733,0.604550268,0.260313386,-0.480420196,0.480420196,0.260313386,1,0,1,2,1,3,4,1,8,6,0,0,0,4,4.239,117.8079
CHEMBL294199,305.418,278.202,0.53886056,0.219760347,-0.504254592,0.504254592,0.219760347,0,0,0,1,0,1,3,2,4,9,0,0,0,1,3.7896,88.9515
CHEMBL5267089,437.54,413.348,0.399814239,0.186283713,-0.492857739,0.492857739,0.186283713,0,0,0,3,1,4,6,1,7,9,0,0,0,4,4.9883,123.4504
CHEMBL4587626,462.908,442.748,0.373950044,0.33671817,-0.477600671,0.477600671,0.33671817,0,0,0,3,1,4,3,1,7,6,0,0,0,4,6.1291,124.8428
CHEMBL3682556,545.515,525.355,0.326389643,0.572596301,-0.544815108,0.572596301,0.544815108,0,0,0,3,1,4,7,0,12,8,0,0,0,4,4.20942,130.2983
CHEMBL3682578,487.582,468.43,0.351344453,0.26533227,-0.544815108,0.544815108,0.26533227,0,0,0,3,2,5,6,0,8,6,0,0,0,5,4.51692,132.4463
CHEMBL3682579,515.635,486.403,0.356683392,0.33517965,-0.477639243,0.477639243,0.33517965,0,1,1,3,1,4,5,1,8,7,0,1,1,5,5.35332,145.7921
CHEMBL3682583,591.587,569.411,0.223958756,0.572596301,-0.544815108,0.572596301,0.544815108,0,0,0,4,1,5,6,0,11,8,0,0,0,5,5.86782,149.1823
CHEMBL3682602,530.568,505.368,0.314053453,0.572596301,-0.405799676,0.572596301,0.405799676,0,0,0,3,1,4,5,1,10,7,0,0,0,4,6.06472,134.6606
CHEMBL3687379,540.563,517.379,0.284364629,0.33517965,-0.477639243,0.477639243,0.33517965,1,0,1,3,1,4,4,1,10,8,1,0,1,5,6.27782,136.2681
CHEMBL3682590,570.467,554.339,0.264223108,0.572596301,-0.477639243,0.572596301,0.477639243,0,0,0,3,1,4,5,1,14,7,0,0,0,4,6.2459,126.6401
