Molecule ChEMBL ID,,HOMO,LUMO,Electronegativity,Hardness
CHEMBL3916922,,-0.221766,-0.049702,0.135734,0.086032
CHEMBL3353600,,-0.231383,-0.088971,0.160177,0.071206
CHEMBL2442011,,-0.191007,-0.053421,0.122214,0.068793
CHEMBL2442020,,-0.208406,-0.024742,0.11657400000000001,0.091832
CHEMBL2442031,,-0.190333,-0.040067,0.1152,0.075133
CHEMBL3218118,,-0.256889,-0.063924,0.16040649999999998,0.0964825
CHEMBL4248352,,-0.229304,-0.067415,0.1483595,0.0809445
CHEMBL4245270,,-0.225079,-0.065692,0.1453855,0.0796935
CHEMBL4242867,,-0.227989,-0.068864,0.1484265,0.0795625
CHEMBL4439190,,-0.262819,-0.101661,0.18224,0.080579
CHEMBL3218114,,-0.240307,-0.067215,0.15376099999999998,0.086546
CHEMBL3353610,,-0.212863,-0.090769,0.151816,0.061047
CHEMBL5281065,,-0.229384,-0.081734,0.155559,0.073825
CHEMBL5271247,,-0.207112,-0.052745,0.1299285,0.0771835
CHEMBL5280621,,-0.196922,-0.052897,0.1249095,0.0720125
CHEMBL5290167,,-0.203983,-0.05778,0.13088149999999998,0.0731015
CHEMBL2442010,,-0.205426,-0.062337,0.1338815,0.0715445
CHEMBL2442017,,-0.202133,-0.035824,0.1189785,0.0831545
CHEMBL5285498,,-0.221546,-0.071642,0.146594,0.074952
CHEMBL5277086,,-0.214262,-0.065598,0.13993,0.074332
CHEMBL5274340,,-0.187236,-0.052229,0.1197325,0.0675035
CHEMBL5270507,,-0.208603,-0.063496,0.1360495,0.0725535
CHEMBL5285661,,-0.211244,-0.06471,0.137977,0.073267
CHEMBL5286892,,-0.207576,-0.060389,0.1339825,0.0735935
CHEMBL4777635,,-0.225002,-0.031427,0.1282145,0.0967875
CHEMBL5181908,,-0.204139,-0.049014,0.12657649999999998,0.0775625
CHEMBL4251427,,-0.219654,-0.062372,0.141013,0.078641
CHEMBL4245257,,-0.230485,-0.071975,0.15123,0.079255
CHEMBL5275778,,-0.181208,-0.000948,0.091078,0.09013
CHEMBL4244629,,-0.254507,-0.05932,0.15691349999999998,0.0975935
CHEMBL3353586,,-0.241246,-0.092559,0.1669025,0.0743435
CHEMBL3353573,,-0.232069,-0.07053,0.1512995,0.0807695
CHEMBL3353569,,-0.238339,-0.06846,0.1533995,0.0849395
CHEMBL5276487,,-0.222242,-0.073661,0.1479515,0.0742905
CHEMBL3902066,,-0.211478,-0.065953,0.1387155,0.0727625
CHEMBL3920880,,-0.215751,-0.047009,0.13138,0.084371
CHEMBL3913924,,-0.214469,-0.051372,0.1329205,0.0815485
CHEMBL3944172,,-0.214012,-0.055857,0.1349345,0.0790775
CHEMBL3947801,,-0.217006,-0.076057,0.1465315,0.0704745
CHEMBL4762495,,-0.227801,-0.058131,0.142966,0.084835
CHEMBL5280897,,-0.225887,-0.078224,0.1520555,0.0738315
CHEMBL5282082,,-0.205921,-0.049331,0.127626,0.078295
CHEMBL3924146,,-0.208449,-0.060292,0.1343705,0.0740785
CHEMBL3981620,,-0.188623,-0.061371,0.12499700000000001,0.063626
CHEMBL3974013,,-0.205335,-0.041896,0.12361549999999999,0.0817195
CHEMBL3927494,,-0.211832,-0.044855,0.1283435,0.0834885
CHEMBL3908909,,-0.197468,-0.035065,0.1162665,0.0812015
CHEMBL5281532,,-0.22029,-0.073901,0.1470955,0.0731945
CHEMBL3981569,,-0.220128,-0.021307,0.12071749999999999,0.0994105
CHEMBL3892508,,-0.210399,-0.064549,0.13747399999999999,0.072925
CHEMBL2387541,,-0.198536,0.01491,0.091813,0.106723
CHEMBL497318,,-0.201762,0.01756,0.092101,0.109661
CHEMBL2443077,,-0.226202,-0.036809,0.1315055,0.0946965
CHEMBL2443073,,-0.217018,-0.020513,0.1187655,0.0982525
